WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,SHIPMONTH,WGTADJ,CONTROL,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
69.1571,2,1,3,2,1,3,1,1,2,1,90000,1200,3,202201,0.9369,22010001,2,1,2,2,2,2,1,2,2,2,2
69.1571,2,1,3,2,2,3,1,1,2,1,82000,1200,3,202201,0.9369,22010002,2,2,2,2,1,1,2,1,1,1,1
69.1571,2,1,3,2,3,3,1,1,2,1,68000,1100,3,202201,0.9369,22010003,2,2,2,2,2,2,2,2,2,2,2
18.5789,2,1,3,2,2,4,1,1,1,1,90000,1200,3,202201,0.9369,22010004,2,1,2,2,2,2,1,2,2,2,2
18.5789,2,1,4,2,1,4,3,2,2,1,90000,1200,3,202201,0.9369,22010005,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,2,1,4,3,1,1,1,76000,920,3,202201,0.9369,22010006,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,4,2,1,4,3,1,2,1,85000,1100,3,202201,0.9369,22010007,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,4,2,1,4,2,1,2,1,71000,820,1,202201,0.9369,22010008,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,4,1,1,4,3,1,2,1,9,820,1,202201,0.9369,22010009,1,3,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,2,3,4,1,1,2,1,85000,1100,3,202201,0.9369,22010010,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,2,1,4,1,1,2,1,94000,1300,3,202201,0.9369,22010011,1,1,1,1,1,1,1,1,1,1,1
18.5789,1,1,3,1,1,4,1,1,2,1,9,1100,3,202201,0.9369,22010012,1,3,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,2,1,4,1,1,2,1,85000,1100,3,202201,0.9369,22010013,1,1,1,1,1,1,1,1,1,1,1
11.45,2,1,3,2,2,1,1,1,2,1,96000,1200,3,202201,0.9369,22010014,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,5,2,2,3,1,1,2,1,69000,660,1,202201,0.9369,22010015,2,1,2,2,2,2,2,2,2,2,2
15.7455,2,1,4,2,1,2,1,1,2,1,66000,740,1,202201,0.9369,22010016,2,1,1,1,1,2,1,1,2,1,1
15.7455,2,1,5,2,1,2,1,1,2,1,90000,1200,3,202201,0.9369,22010017,1,1,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,82000,1100,3,202201,0.9369,22010018,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,1,1,2,1,1,1,1,9,740,1,202201,0.9369,22010019,2,3,2,2,2,2,2,2,2,2,2
15.7455,1,1,5,2,1,2,3,1,1,1,94000,1300,3,202201,0.9369,22010020,2,1,2,2,2,2,2,2,2,2,2
15.7455,1,1,3,2,1,2,1,1,2,1,91000,740,1,202201,0.9369,22010021,2,2,2,2,2,2,2,2,2,2,2
15.7455,2,1,3,1,1,2,4,1,1,1,9,1200,3,202201,0.9369,22010022,2,3,2,2,2,2,2,2,2,2,2
15.7455,2,1,3,2,1,2,1,1,2,1,78000,960,3,202201,0.9369,22010023,1,1,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,69000,740,1,202201,0.9369,22010024,1,1,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,78000,960,3,202201,0.9369,22010025,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,3,2,3,3,1,1,2,1,75000,900,1,202201,0.9369,22010026,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,5,2,2,3,1,1,2,1,73000,1300,3,202201,0.9369,22010027,2,2,2,2,2,2,2,2,2,2,2
15.7455,2,1,3,2,1,2,1,1,2,1,90000,1200,3,202201,0.9369,22010028,1,1,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,2,2,1,87000,1200,3,202201,0.9369,22010029,1,1,1,1,1,1,1,1,1,1,1
15.7455,1,1,3,2,1,2,3,1,1,1,71000,1100,3,202201,0.9369,22010030,2,2,2,2,2,2,2,2,2,2,2
15.7455,2,1,3,2,1,2,1,1,2,1,94000,1300,3,202201,0.9369,22010031,1,1,1,1,1,1,1,1,1,1,1
15.7455,1,1,3,2,1,2,1,1,3,1,65000,1200,3,202201,0.9369,22010032,2,2,2,2,2,2,1,1,2,1,1
15.7455,1,1,3,2,1,2,1,2,1,1,67000,1100,3,202201,0.9369,22010033,2,2,2,2,2,2,1,1,2,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,100000,1200,1,202201,0.9369,22010034,2,2,2,2,2,2,2,1,2,1,1
15.7455,2,1,3,1,1,2,1,1,2,1,9,1100,3,202201,0.9369,22010035,2,3,2,2,2,2,1,1,2,2,2
15.7455,2,1,3,2,1,2,1,1,3,1,76000,920,3,202201,0.9369,22010036,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,1,1,2,1,1,1,1,9,1200,3,202201,0.9369,22010037,2,3,2,2,2,2,2,2,2,2,2
15.7455,1,1,3,1,1,2,1,1,2,1,9,1300,3,202201,0.9369,22010038,1,3,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,1,1,2,1,1,3,1,9,1200,3,202201,0.9369,22010039,1,3,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,3,1,82000,1100,3,202201,0.9369,22010040,1,1,1,1,1,1,1,1,1,1,1
15.7455,1,1,3,1,1,2,1,1,2,1,9,1100,3,202201,0.9369,22010041,1,3,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,82000,1100,3,202201,0.9369,22010042,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,2,3,4,1,1,2,1,94000,1300,3,202201,0.9369,22010043,2,1,2,2,2,2,2,2,2,2,1
15.7455,2,1,3,2,2,2,1,1,1,1,90000,1200,3,202201,0.9369,22010044,1,1,1,1,1,1,1,1,1,1,1
11.45,1,1,3,1,1,1,1,1,3,1,9,1100,3,202201,0.9369,22010045,2,3,2,2,2,2,2,2,2,2,2
11.45,2,1,5,2,1,1,3,1,2,1,93000,780,1,202201,0.9369,22010046,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,5,2,1,3,1,1,2,1,98000,920,1,202201,0.9369,22010047,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,4,1,1,3,1,1,2,1,9,1100,3,202201,0.9369,22010048,2,3,2,2,2,2,2,2,2,2,2
15.7455,2,1,3,2,1,2,1,1,2,1,56000,1200,3,202201,0.9369,22010049,2,2,2,2,2,2,2,2,2,2,2
15.7455,2,1,3,2,3,2,1,1,1,1,92000,1200,1,202201,0.9369,22010050,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,3,2,3,3,1,1,2,1,53000,840,1,202201,0.9369,22010051,2,2,2,2,2,2,2,2,1,2,2
18.5789,2,1,3,2,2,4,2,1,1,1,57000,820,1,202201,0.9369,22010052,2,2,2,2,2,2,2,2,2,2,2
11.45,1,1,3,1,1,1,1,1,2,1,9,840,1,202201,0.9369,22010053,2,3,2,2,2,2,1,2,2,2,2
11.45,2,1,3,2,1,1,1,1,1,1,95000,960,1,202201,0.9369,22010054,2,2,2,2,2,2,2,2,2,2,2
11.45,2,1,3,2,1,1,1,1,2,1,99000,630,1,202201,0.9369,22010055,2,2,2,2,2,2,2,2,2,2,2
11.45,2,1,3,2,1,1,1,1,2,1,82000,1100,3,202201,0.9369,22010056,1,1,1,1,1,1,1,1,1,1,1
11.45,2,1,3,2,3,1,1,1,2,1,80000,950,1,202201,0.9369,22010057,2,2,2,2,2,2,2,2,2,2,2
