WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,WGTADJ,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
69.1571,2,1,5,2,2,3,1,1,2,1,53000,960,1,0.9369,1,1,1,1,1,1,1,1,1,1,1
69.1571,1,1,4,2,1,3,1,1,3,1,96000,900,1,0.9369,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,3,2,2,3,1,1,2,1,84000,1100,1,0.9369,1,0,1,1,1,1,1,0,1,0,0
15.7455,1,1,5,2,1,2,1,1,1,1,75000,1300,3,0.9369,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,2,2,2,3,0,0,2,1,68000,1200,3,0.9369,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,1,2,1,3,0,0,2,1,53000,1200,3,0.9369,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,1,2,3,4,0,0,2,1,71000,820,1,0.9369,0,0,0,0,0,0,0,1,0,0,1
18.5789,2,1,1,2,1,1,0,0,1,1,90000,1200,3,0.9369,1,0,0,0,0,1,0,1,1,0,1
11.45,2,1,1,2,1,1,0,0,2,1,80000,1000,1,0.9369,1,0,0,0,0,1,0,1,1,0,1
11.45,2,1,1,2,3,1,0,0,2,1,82000,1100,3,0.9369,0,0,0,0,0,0,0,1,0,0,1
34.5786,2,1,4,2,3,3,1,1,2,2,140000,2000,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,2,3,1,1,2,2,130000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,4,2,3,3,1,1,2,2,140000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
6.193,1,1,3,2,3,5,1,1,2,3,270000,2600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,5,2,3,4,1,1,1,2,210000,1200,3,1.0616,1,1,1,1,1,1,1,1,1,1,0
9.2895,1,1,3,2,3,4,3,2,1,2,140000,1300,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,2,4,1,1,1,2,130000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,5,2,3,4,3,1,2,2,190000,2200,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,1,4,3,1,2,2,140000,1500,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,3,2,2,4,3,1,2,2,210000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,1,4,1,1,2,2,180000,1400,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,4,2,1,4,3,1,2,2,160000,2000,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,3,2,1,4,1,1,2,2,120000,910,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,4,2,2,4,3,2,1,2,150000,1500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,4,2,3,3,1,3,2,2,87000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,3,3,1,2,2,2,140000,1900,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,4,2,3,3,1,1,2,2,130000,2100,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,2,4,4,3,1,2,96000,910,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,1,4,3,1,2,2,140000,1600,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,4,2,1,4,3,1,1,2,120000,1100,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,3,2,1,4,3,1,2,2,120000,1200,1,1.0616,1,0,0,0,0,1,0,0,1,0,0
9.2895,2,1,4,2,1,4,3,1,2,2,200000,1500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,2,4,1,1,2,2,120000,910,1,1.0616,1,0,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,3,4,3,2,1,2,140000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,4,2,1,4,3,1,2,2,260000,1200,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,4,2,1,4,3,1,2,2,150000,1600,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,1,1,4,2,1,4,3,1,2,2,150000,1600,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,4,2,1,4,3,1,2,2,130000,1300,1,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,3,2,1,4,1,1,2,2,160000,1800,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,3,2,1,4,1,1,2,2,180000,2200,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
5.725,2,1,3,2,2,1,1,1,2,2,140000,1300,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
