LOCATION,REGION,PRICE,SQFT,WGTADJ
3,3,110000,1100,1.0465
3,3,240000,2400,1.0465
2,3,130000,1100,1.0465
3,3,87000,1100,1.0465
3,3,170000,2100,1.0465
3,3,140000,1600,1.0465
3,3,120000,1700,1.0465
1,3,120000,1100,1.0465
3,3,160000,1700,1.0465
1,3,180000,2100,1.0465
2,3,160000,1700,1.0465
2,3,120000,1800,1.0465
1,4,150000,1600,1.0465
3,2,160000,1800,1.0465
1,2,250000,1600,1.0465
1,2,130000,1200,1.0465
1,5,230000,3100,1.0465
2,2,130000,1200,1.0465
1,2,160000,1800,1.0465
1,2,160000,1700,1.0465
1,2,100000,1700,1.0465
1,2,130000,1500,1.0465
1,2,150000,1600,1.0465
3,2,150000,2000,1.0465
3,3,160000,1700,1.0465
3,3,140000,1900,1.0465
1,2,130000,1800,1.0465
1,2,160000,1700,1.0465
1,2,170000,1900,1.0465
3,2,120000,1300,1.0465
1,2,150000,1600,1.0465
1,2,180000,2100,1.0465
1,2,160000,1700,1.0465
1,2,150000,1600,1.0465
2,3,110000,1500,1.0465
3,3,170000,2000,1.0465
3,2,110000,2000,1.0465
3,2,150000,1800,1.0465
3,2,160000,1700,1.0465
3,2,160000,1800,1.0465
3,2,110000,1600,1.0465
3,4,140000,1400,1.0465
2,2,150000,1600,1.0465
3,2,160000,1700,1.0465
2,2,190000,2400,1.0465
1,4,140000,1300,1.0465
1,4,170000,1600,1.0465
1,4,130000,1100,1.0465
2,4,130000,1100,1.0465
1,4,150000,1500,1.0465
2,4,160000,1700,1.0465
2,4,150000,1600,1.0465
2,4,96000,2100,1.0465
1,1,170000,1200,1.0465
3,3,170000,1800,1.0465
3,3,120000,1600,1.0465
3,3,180000,2000,1.0465
3,3,200000,2500,1.0465
1,2,120000,1600,1.0465
2,3,170000,2000,1.0465
3,3,180000,2000,1.0465
2,3,140000,1600,1.0465
2,4,150000,1600,1.0465
4,4,160000,1900,1.0465
2,4,150000,1500,1.0465
1,4,150000,1500,1.0465
2,5,180000,2600,1.0465
2,4,170000,1900,1.0465
2,5,280000,1800,1.0465
2,4,140000,1300,1.0465
1,1,85000,1100,1.0465
1,1,100000,1700,1.0465
2,1,120000,1900,1.0465
1,1,150000,1500,1.0465
1,1,160000,1500,1.0465
3,1,160000,1700,1.0465
1,1,130000,1100,1.0465
2,3,100000,1600,1.0465
3,3,130000,1100,1.0465
3,3,160000,1600,1.0465
3,3,200000,2500,1.0465
3,3,150000,1600,1.0465
3,3,150000,1600,1.0465
3,3,240000,2500,1.0465
3,3,240000,2500,1.0465
3,3,87000,1600,1.0465
3,3,180000,2000,1.0465
3,3,140000,1900,1.0465
2,3,99000,1600,1.0465
3,3,150000,1600,1.0465
3,3,120000,1600,1.0465
3,3,150000,1800,1.0465
3,3,120000,1500,1.0465
2,3,100000,1600,1.0465
3,3,200000,2500,1.0465
3,3,170000,1900,1.0465
3,3,87000,1100,1.0465
3,3,200000,2500,1.0465
3,3,210000,2500,1.0465
3,3,150000,1600,1.0465
2,3,120000,1900,1.0465
2,4,240000,1900,1.0465
3,5,220000,2600,1.0465
3,4,130000,1200,1.0465
1,4,240000,1400,1.0465
1,4,180000,1800,1.0465
3,4,160000,1600,1.0465
1,4,150000,1600,1.0465
3,4,160000,1800,1.0465
3,1,120000,1500,1.0465
1,1,280000,1500,1.0465
3,1,94000,990,1.0465
3,1,85000,1100,1.0465
1,1,130000,1200,1.0465
1,1,280000,1600,1.0465
3,1,85000,1200,1.0465
2,3,200000,2500,1.0465
2,4,170000,2000,1.0465
1,2,140000,1300,1.0465
1,2,130000,1100,1.0465
3,2,160000,1800,1.0465
3,3,87000,1900,1.0465
1,2,110000,1500,1.0465
1,2,110000,1100,1.0465
1,1,130000,1200,1.0465
1,1,160000,1700,1.0465
1,1,160000,1700,1.0465
1,1,280000,1700,1.0465
1,1,150000,1500,1.0465
2,1,99000,1200,1.0465
3,1,100000,1200,1.0465
3,3,100000,1700,1.0465
1,2,170000,1500,1.0465
1,2,170000,1900,1.0465
2,4,95000,1200,1.0389
2,4,72000,590,1.0389
1,4,65000,780,1.0389
1,4,84000,1100,1.0389
1,4,81000,1100,1.0389
1,4,75000,920,1.0389
1,3,78000,830,1.0389
1,3,63000,1200,1.0389
1,2,84000,1100,1.0389
1,2,84000,1100,1.0389
1,2,83000,1100,1.0389
1,2,100000,1200,1.0389
3,2,91000,740,1.0389
1,2,66000,800,1.0389
3,2,120000,1300,1.0389
1,2,66000,800,1.0389
1,2,66000,800,1.0389
2,3,92000,1300,1.0389
1,2,85000,960,1.0389
1,2,95000,1200,1.0389
1,2,73000,900,1.0389
1,2,65000,740,1.0389
1,2,89000,1200,1.0389
2,2,75000,900,1.0389
1,2,56000,1300,1.0389
1,2,70000,1100,1.0389
1,2,84000,1100,1.0389
3,3,71000,1300,1.0389
3,2,66000,800,1.0389
2,2,79000,990,1.0389
2,4,57000,590,1.0389
3,3,53000,660,1.0389
1,2,84000,1100,1.0389
1,2,72000,1100,1.0389
1,2,99000,1300,1.0389
3,3,88000,1200,1.0389
1,1,75000,920,1.0389
1,1,120000,1200,1.0389
1,1,99000,1200,1.0389
3,1,73000,920,1.0389
1,1,70000,1200,1.0389
1,1,67000,1100,1.0389
3,3,90000,1200,1.0389
3,3,75000,920,1.0389
3,3,95000,1200,1.0389
2,3,53000,840,1.0389
3,4,65000,780,1.0389
3,1,78000,870,1.0389
1,1,84000,950,1.0389
3,2,65000,740,1.0389
1,2,73000,900,1.0389
1,2,95000,1200,1.0389
1,2,77000,960,1.0389
3,3,95000,1200,1.0389
2,3,90000,1100,1.0389
1,2,99000,1300,1.0389
1,2,120000,1300,1.0389
1,3,100000,1600,1.0248
3,3,160000,2000,1.0248
1,4,140000,1500,1.0248
2,5,300000,2600,1.0248
3,4,190000,1600,1.0248
2,4,130000,1300,1.0248
3,4,150000,1500,1.0248
3,4,120000,1600,1.0248
1,4,170000,1100,1.0248
2,4,240000,2200,1.0248
4,4,220000,2200,1.0248
2,4,140000,1200,1.0248
3,4,160000,2100,1.0248
1,4,130000,1200,1.0248
1,4,160000,1700,1.0248
1,4,130000,1200,1.0248
3,4,150000,2200,1.0248
2,4,200000,1700,1.0248
1,4,140000,1400,1.0248
1,4,150000,1600,1.0248
3,4,200000,1200,1.0248
1,4,150000,1600,1.0248
1,4,190000,1500,1.0248
1,4,150000,1500,1.0248
2,4,140000,1600,1.0248
1,4,150000,1600,1.0248
2,4,160000,1700,1.0248
1,4,300000,1600,1.0248
2,4,150000,1600,1.0248
1,4,150000,1200,1.0248
1,4,160000,1700,1.0248
1,4,150000,1600,1.0248
2,4,140000,1600,1.0248
1,4,130000,1200,1.0248
2,4,300000,2200,1.0248
1,3,200000,2200,1.0248
3,3,100000,1500,1.0248
3,3,120000,1500,1.0248
3,5,260000,2900,1.0248
3,3,170000,1800,1.0248
1,3,160000,1500,1.0248
1,3,140000,1100,1.0248
2,3,200000,2200,1.0248
1,4,170000,1800,1.0248
2,4,300000,1900,1.0248
1,4,96000,1700,1.0248
2,2,200000,2400,1.0248
3,2,130000,1600,1.0248
1,2,130000,1200,1.0248
1,2,140000,1300,1.0248
1,2,130000,1600,1.0248
1,2,140000,2000,1.0248
1,2,89000,1400,1.0248
3,2,150000,2100,1.0248
1,2,180000,2000,1.0248
3,2,180000,1900,1.0248
3,2,190000,2000,1.0248
2,3,160000,1700,1.0248
3,3,180000,2000,1.0248
3,3,200000,2200,1.0248
3,3,200000,2200,1.0248
1,2,180000,1900,1.0248
1,2,150000,1500,1.0248
1,2,110000,1500,1.0248
1,2,150000,1500,1.0248
1,2,200000,2400,1.0248
1,2,110000,1600,1.0248
1,2,120000,1500,1.0248
1,2,110000,1100,1.0248
1,2,160000,1700,1.0248
1,2,110000,1200,1.0248
1,2,89000,1200,1.0248
3,3,160000,2300,1.0248
3,3,180000,2000,1.0248
3,3,160000,1700,1.0248
3,2,170000,2100,1.0248
3,2,190000,2000,1.0248
2,2,180000,2200,1.0248
1,2,130000,1500,1.0248
3,4,300000,2200,1.0248
2,2,180000,2000,1.0248
2,2,180000,1900,1.0248
1,4,130000,1200,1.0248
1,4,150000,1600,1.0248
1,1,130000,1300,1.0248
1,1,140000,1300,1.0248
3,3,150000,1500,1.0248
3,3,200000,1500,1.0248
2,3,150000,1600,1.0248
1,2,150000,1500,1.0248
3,3,160000,2000,1.0248
3,3,130000,1700,1.0248
2,4,130000,1900,1.0248
2,5,220000,2600,1.0248
3,1,92000,1300,1.0248
3,1,170000,1900,1.0248
1,1,100000,990,1.0248
3,1,85000,1300,1.0248
2,1,85000,1900,1.0248
1,1,150000,1500,1.0248
1,1,140000,1300,1.0248
1,1,140000,1300,1.0248
1,1,170000,1700,1.0248
2,1,140000,1600,1.0248
3,3,160000,1900,1.0248
3,3,150000,1600,1.0248
3,3,220000,2500,1.0248
2,3,190000,1300,1.0248
2,3,200000,2300,1.0248
2,3,160000,2100,1.0248
3,3,240000,2300,1.0248
3,3,240000,2500,1.0248
3,3,180000,1900,1.0248
3,3,170000,1900,1.0248
3,3,240000,2200,1.0248
3,3,190000,2000,1.0248
3,3,130000,2100,1.0248
2,3,130000,2100,1.0248
2,3,160000,1900,1.0248
2,3,150000,1600,1.0248
2,3,200000,2100,1.0248
3,4,160000,1600,1.0248
1,4,240000,1200,1.0248
1,4,200000,2200,1.0248
1,4,120000,1100,1.0248
2,4,240000,1600,1.0248
1,1,150000,1400,1.0248
3,1,160000,1700,1.0248
1,1,280000,1200,1.0248
1,1,280000,1300,1.0248
1,1,140000,1400,1.0248
3,1,150000,1700,1.0248
3,1,150000,1900,1.0248
1,3,240000,1600,1.0248
3,4,120000,1800,1.0248
3,3,160000,1700,1.0248
2,2,150000,1700,1.0248
2,4,200000,2200,1.0248
3,4,170000,1600,1.0248
1,1,95000,1300,1.0248
3,1,200000,1900,1.0248
3,1,180000,1700,1.0248
1,1,180000,1900,1.0248
1,1,180000,1900,1.0248
1,1,140000,1600,1.0248
1,1,180000,1600,1.0248
1,1,160000,1600,1.0248
1,2,89000,1500,1.0248
1,2,180000,2000,1.0248
3,2,120000,2000,1.0248
2,4,170000,1600,1.0248
3,5,160000,1900,1.0248
2,4,190000,1800,1.0248
3,1,180000,1900,1.0248
3,1,110000,1600,1.0248
3,1,100000,1300,1.0248
1,1,280000,1900,1.0248
3,1,85000,1100,1.0248
3,1,150000,1900,1.0248
1,1,160000,1200,1.0248
3,1,85000,1300,1.0248
1,1,280000,1900,1.0248
3,1,98000,1400,1.0248
2,3,210000,2300,1.0248
1,2,180000,2000,1.0248
3,2,130000,1500,1.0248
3,2,120000,1500,1.0248
1,2,180000,1500,1.0248
1,4,92000,1200,0.9168
3,3,90000,1200,0.9168
3,3,81000,1200,0.9168
1,4,70000,780,0.9168
1,4,87000,1200,0.9168
1,4,92000,1200,0.9168
2,3,81000,1000,0.9168
1,4,120000,1200,0.9168
1,2,84000,1100,0.9168
1,2,77000,920,0.9168
1,2,85000,960,0.9168
1,2,87000,1100,0.9168
1,2,80000,980,0.9168
1,2,84000,1100,0.9168
1,2,85000,1100,0.9168
1,2,90000,1100,0.9168
1,2,89000,1200,0.9168
1,2,92000,1200,0.9168
1,2,87000,1100,0.9168
1,2,84000,1100,0.9168
2,3,88000,1300,0.9168
3,3,130000,1200,0.9168
3,3,89000,1200,0.9168
3,2,64000,1200,0.9168
1,2,79000,960,0.9168
3,2,72000,1100,0.9168
1,2,73000,920,0.9168
1,2,95000,1300,0.9168
1,2,87000,1100,0.9168
1,2,64000,740,0.9168
1,2,70000,740,0.9168
